id,Date,id item,Unit price,Quantity
0,2016-01-13,1094,44.99,1
1,2016-01-07,1133,31.99,1
2,2016-01-16,1133,31.99,1
3,2016-01-22,1133,31.99,1
4,2016-01-11,1135,20.99,1
5,2016-01-15,1135,20.99,1
6,2016-01-20,1135,20.99,1
7,2016-01-22,1135,20.99,1
8,2016-01-23,1135,20.99,1
9,2016-01-24,1135,20.99,1
10,2016-01-30,1135,20.99,1
11,2016-01-01,1178,11.49,1
12,2016-01-02,1178,11.49,1
13,2016-01-03,1178,11.49,1
14,2016-01-06,1178,11.49,1
15,2016-01-09,1178,11.49,1
16,2016-01-10,1178,11.49,1
17,2016-01-12,1178,11.49,1
18,2016-01-15,1178,11.49,1
19,2016-01-16,1178,11.49,2
20,2016-01-18,1178,11.49,1
21,2016-01-21,1178,11.49,1
22,2016-01-22,1178,11.49,1
23,2016-01-24,1178,11.49,1
24,2016-01-25,1178,11.49,1
25,2016-01-27,1178,11.49,1
26,2016-01-31,1178,11.49,1
27,2016-01-22,1186,27.99,1
28,2016-01-01,1212,19.99,1
29,2016-01-07,1212,21.99,1
30,2016-01-08,1212,21.99,1
31,2016-01-09,1212,21.99,2
32,2016-01-11,1212,21.99,2
33,2016-01-14,1212,21.99,1
34,2016-01-17,1212,21.99,1
35,2016-01-20,1212,21.99,1
36,2016-01-23,1212,21.99,3
37,2016-01-26,1212,21.99,1
38,2016-01-29,1212,21.99,7
39,2016-01-01,1220,29.99,1
40,2016-01-07,1220,34.99,1
41,2016-01-08,1220,34.99,2
42,2016-01-09,1220,34.99,1
43,2016-01-11,1220,34.99,1
44,2016-01-14,1220,34.99,1
45,2016-01-15,1220,34.99,2
46,2016-01-16,1220,34.99,1
47,2016-01-19,1220,34.99,2
48,2016-01-21,1220,34.99,1
49,2016-01-22,1220,34.99,1
50,2016-01-23,1220,34.99,1
51,2016-01-27,1220,34.99,2
52,2016-01-28,1220,34.99,2
53,2016-01-30,1220,34.99,1
54,2016-01-31,1220,34.99,1
55,2016-01-01,1226,25.99,1
56,2016-01-04,1226,27.99,1
57,2016-01-14,1226,27.99,1
58,2016-01-01,1231,12.99,6
59,2016-01-02,1231,12.99,4
60,2016-01-05,1231,12.99,2
61,2016-01-06,1231,12.99,1
62,2016-01-10,1231,12.99,1
